,10min-ar_pct,15min-ar_pct,20min-ar_pct,25min-ar_pct,30min-ar_pct
Sales,0.0026989905183774335,0.0037054319852024907,0.0027256741317453724,0.003244525952458714,0.002886379381558826
Expenses,0.0013528217192562539,0.001994975779999459,0.0011540650098822173,0.0018372732298225663,0.0014996006181468105
Operating Profit,0.009008601191242005,0.011271645671745583,0.009689522351200979,0.010800378810607254,0.010066634684637553
OPM %,-0.008874810980872125,0.003813495991260036,0.0014683547395311595,-0.0013813415299806394,-0.001543400059608229
Other Income,0.006314722283378542,0.0031751422564192827,0.002550307683981011,0.0033669372688160133,0.0029632072968178882
Interest,0.003800156299453296,0.00543366194580496,0.0013907897047744729,0.004516926958761292,0.002403818193539853
Depreciation,0.005033799582905893,0.0032096531641951096,0.0017342935187135112,0.001345973249647504,0.0013802634206886
Profit Before Tax,0.01118429387086628,0.013583178648146036,0.011996523592861992,0.013490409332651311,0.011773609152891449
Tax %,-0.01410967451604038,-0.003551582210198325,-0.015514159532984581,-0.030669632712627286,-0.02762962651815983
Net Profit,0.011463211714721887,0.013669279534308612,0.012840197976191424,0.014106025878779703,0.012387017973898415
EPS in Rs,0.004137834252228279,0.0009236211580403277,0.0025138797952820487,-0.0003355536961793829,0.0017327578350730267
